Cliente;Edad;Renta;Sexo;EstadoCivil;NivelSocioEconomico;Departamento;AntiguedadCuenta_Meses;RegistraAdicionales;NumeroAdicionales;AntiguedadAdicionales_Meses;LineaCreditoNormal;SituacionCuenta;PromediodePagos;SaldoExtra;SaldoNormal;SaldoTotal;HabitodePago1;HabitodePago2;HabitodePago3;HabitodePago4;HabitodePago5;HabitodePago6;HabitodePago7;HabitodePago8;PeorHabito Pago;FlagRefinanciadoHistórico;FlagRefinanciado;DiasMora200812;DiasMora200901;DiasMora200902;DiasMora200903;DiasMora200904;DiasMora200905;CódigoInstitucion;PagaDespues;DispEfectivo;CalificacionSBS;CompraAnual_200806_200905;NroTransaccionesAnual_200806_200905;CompraMensualMaxima_200806_200905;Flag_Cliente
31888;48;;M;S;D;LIMA;72;0;;;600;0;7;3736;1359;5095;A;B;A;4;4;4;2;2;;Ref.C;Registró Refinanciación;0;1;29;60;0;0;0;1;1;1;75.68;12;6.78;0
31896;31;423;F;S;C;LIMA;72;1;1;25.17;2000;5;5;0;1688;1688;A;4;4;2;2;9;A;4;;N/V;No Registró;0;1;0;1;31;31;0;0;6;3;978.02;16;315;0
31944;38;550;M;S;D;LIMA;72;0;;;720;5;8;0;845;845;B;A;4;9;4;9;A;4;;N/V;No Registró;0;16;0;16;46;77;0;0;0;3;849.58;26;449;0
33340;35;;F;S;N;PIURA;71.93;0;;;800;5;6;1200;1895;3095;A;4;9;4;9;4;2;2;;N/V;No Registró;1;1;29;1;31;62;;1;0;2;1144.64;25;225.69;0
36404;31;4050;M;S;C;LIMA;71.67;0;;;1800;5;7;2752;2345;5097;A;4;2;A;A;A;A;4;;Ref.C;Registró Refinanciación;16;47;0;0;0;16;0;0;0;2;3019.23;34;1899;0
36870;34;;M;S;C;LIMA;71.6;1;1;3.6;2000;5;7;0;2018;2018;4;9;B;A;A;A;4;2;;N/V;No Registró;6;37;3;6;5;36;;1;0;4;4205.46;45;670.87;0
37088;31;969;M;S;D;LIMA;71.57;1;1;62.67;300;5;6;0;397;397;4;9;B;A;4;9;4;1;;N/V;No Registró;1;32;0;31;0;31;0;0;1;4;1204.47;24;229.23;0
39290;25;750;F;S;D;LIMA;53.17;1;1;17.87;300;0;8;0;300;300;B;A;B;A;4;2;0;0;;N/V;No Registró;1;32;0;31;0;1;400;0;1;3;599.41;4;300;0
40103;29;;F;S;D;LIMA;71.3;0;;;600;0;6;4324;1356;5680;2;B;B;A;4;1;1;1;;Ref.C;Registró Refinanciación;0;16;44;75;0;0;0;0;0;3;;;;0
40974;26;1347;M;S;C;LIMA;53.17;1;1;9.93;1200;5;3;4690;2965;7655;4;7;4;2;1;1;1;1;;Ref.C;Registró Refinanciación;0;0;3;0;5;36;0;0;2;3;1074.15;17;588.74;0
43593;28;;F;S;N;LAMBAYEQUE;70.9;1;1;8.37;750;5;9;0;246;246;B;A;A;A;4;9;4;A;;N/V;No Registró;1;32;0;31;61;62;;0;0;2;1503.79;9;723.16;0
44220;32;;M;S;N;LAMBAYEQUE;70.83;0;;;2880;0;5;0;2928;2928;4;1;A;4;1;9;A;A;;Ref.C;Registró Refinanciación;0;1;29;0;0;1;;0;0;4;4545.23;38;1197;0
45352;32;;M;S;N;AREQUIPA;53.17;0;;;2400;5;6;4523;1314;5837;B;A;4;4;2;2;2;9;;N/V;No Registró;1;1;0;31;61;1;0;1;0;3;1260.84;10;585.8;0
46205;47;;F;C;N;PIURA;70.63;0;;;1400;5;6;1299;4263;5562;A;4;9;4;7;4;4;4;;Ref.C;Registró Refinanciación;0;1;29;1;31;62;;1;2;3;806.72;29;224.87;0
46512;34;;F;S;N;LAMBAYEQUE;70.6;1;1;39.7;1200;5;5;0;1103;1103;B;A;4;1;2;1;1;7;;N/V;No Registró;0;0;3;34;64;6;;0;3;3;2911.21;31;1116;0
47305;28;;M;S;D;LIMA;70.53;0;;;400;0;5;0;351;351;B;A;4;2;1;1;1;1;;N/V;No Registró;1;32;0;31;61;1;;1;0;3;604.15;15;310;0
47661;37;1400;M;S;N;PIURA;70.47;0;;;1700;5;6;0;3425;3425;A;A;A;4;2;1;4;4;;Ref.C;Registró Refinanciación;1;1;0;1;31;62;;1;0;2;1975.5;42;414.2;0
48962;27;;F;S;C;LIMA;70.33;0;;;750;5;6;0;809;809;B;A;4;2;2;4;4;2;;N/V;No Registró;1;1;0;31;0;31;956;2;0;4;264.48;9;74.99;0
49133;37;;M;S;N;PIURA;53.17;1;1;52.67;1200;0;7;814;1300;2114;B;B;A;A;4;2;4;2;;Ref.C;Registró Refinanciación;1;32;29;60;0;1;0;1;2;3;203.63;16;58.3;0
50377;50;8568;M;C;A;LIMA;70.17;0;;;20000;0;2;0;485;485;2;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;4032.48;42;846.3;0
53833;27;;M;S;N;AREQUIPA;69.87;0;;;1080;0;9;0;1042;1042;1;C;C;C;B;B;B;A;;N/V;No Registró;46;77;75;75;15;0;;0;1;1;2816.87;32;1167.3;0
54088;35;796;F;S;N;PIURA;69.83;0;;;1600;0;7;0;1677;1677;9;1;1;9;B;A;4;B;;N/V;No Registró;1;32;0;1;31;0;;1;0;1;2959.75;29;647.98;0
54470;40;6100;M;C;B;LIMA;69.8;0;;;7000;0;6;1164;9586;10750;B;A;A;4;2;2;1;1;;N/V;No Registró;0;11;39;39;0;0;0;0;2;1;5221.58;70;1557.1;0
54774;30;1400;M;S;N;AREQUIPA;69.77;0;;;1400;0;8;0;1355;1355;B;A;4;9;4;9;A;4;;N/V;No Registró;11;11;8;39;69;0;;0;0;3;3066.91;30;800;0
55787;39;;F;S;D;LIMA;69.67;1;1;13.33;500;0;4;0;510;510;2;4;9;A;4;4;1;1;;N/V;No Registró;6;37;34;6;5;6;0;0;6;4;1615.55;57;246.32;0
56183;28;;F;S;C;LIMA;69.63;0;;;1800;5;8;0;1648;1648;A;A;A;4;4;9;4;4;;N/V;No Registró;6;6;3;6;36;67;0;0;0;2;1357.35;25;287.35;0
56240;38;2000;M;S;C;LIMA;69.63;0;;;2800;5;5;0;3226;3226;A;4;2;2;9;4;1;1;;N/V;No Registró;0;6;0;6;36;67;0;2;0;4;2127.89;26;796;0
56503;28;;M;S;N;LA LIBERTAD;69.6;1;1;42.5;400;0;A;0;566;566;B;A;A;C;B;A;C;B;;N/V;No Registró;51;82;18;21;51;82;;0;0;2;966.54;9;256.13;0
56708;55;2100;M;S;C;LIMA;53.13;1;1;50.7;2600;0;3;0;2351;2351;1;1;1;1;B;A;4;2;;N/V;No Registró;31;0;0;0;0;0;0;0;0;1;3;1;3;0
56749;28;903;F;S;C;LIMA;59.63;0;;;1400;5;7;0;1563;1563;A;A;4;B;A;4;2;2;;Ref.C;Registró Refinanciación;41;0;8;11;41;72;0;1;4;4;1735.77;49;601.9;0
56768;35;;M;S;N;PIURA;69.57;0;;;1100;0;5;0;1140;1140;9;A;4;2;4;4;2;2;;N/V;No Registró;1;0;0;31;0;1;;1;8;0;1909.65;41;329;0
57171;30;1477;F;S;N;AREQUIPA;69.5;0;;;400;0;6;0;732;732;9;4;2;9;A;4;2;2;;Ref.C;Registró Refinanciación;31;0;0;1;31;1;;1;2;2;3544.73;23;1902.61;0
57353;40;605;M;C;N;PIURA;69.47;0;;;1400;5;7;0;1460;1460;4;2;1;B;B;B;B;A;;Ref.C;Registró Refinanciación;62;62;0;0;0;31;;0;0;1;2661.06;25;760.48;0
59905;36;;F;S;D;LIMA;69.23;0;;;300;0;9;0;251;251;C;B;A;A;B;A;4;1;;Ref.C;Registró Refinanciación;56;0;23;54;56;0;0;0;0;2;790.5;19;356.83;0
60181;31;550;M;S;C;LIMA;69.2;1;1;46.1;2000;0;8;0;1639;1639;C;B;A;B;A;1;1;1;;N/V;No Registró;56;0;0;26;56;0;0;0;0;4;1742.14;14;1272.9;0
62875;27;;F;S;D;LIMA;68.93;0;;;600;0;6;0;624;624;A;A;4;2;4;4;9;4;;Ref.C;Registró Refinanciación;16;0;0;16;46;0;0;2;0;2;344.25;3;267.95;0
63024;37;;F;S;N;PIURA;68.93;0;;;500;5;9;0;494;494;C;B;A;4;1;B;A;A;;N/V;No Registró;0;0;13;44;74;0;;0;0;3;1402.74;23;208;0
63064;30;;M;S;N;PIURA;68.93;0;;;1200;5;5;0;1281;1281;4;2;A;A;4;2;4;2;;Ref.C;Registró Refinanciación;11;42;0;0;10;41;;1;3;3;1343.82;11;399;0
64465;40;;M;S;C;LIMA;68.77;0;;;600;5;9;0;140;140;B;B;B;B;A;4;2;9;;N/V;No Registró;41;42;39;39;41;72;0;0;0;1;790.49;15;266.25;0
64844;35;990;F;S;D;LIMA;68.73;0;;;300;5;9;0;378;378;A;B;A;B;A;4;9;A;;N/V;No Registró;41;11;39;11;41;41;0;0;0;2;622.29;20;243.34;0
65653;43;2348;M;S;N;LA LIBERTAD;68.67;1;1;25.47;1400;5;5;5269;2475;7745;4;4;B;A;4;4;4;4;;Ref.C;Registró Refinanciación;0;26;54;0;0;0;;1;0;3;1243.36;28;280.18;0
65836;42;;F;S;D;LIMA;59.6;0;;;300;5;6;0;444;444;A;4;0;1;9;A;4;4;;N/V;No Registró;41;0;0;11;41;72;400;0;1;4;523.45;8;243.75;0
66218;28;;M;S;C;LIMA;68.57;0;;;400;5;5;4084;2668;6752;A;A;4;2;2;4;1;1;;N/V;No Registró;1;1;0;1;31;31;951;1;1;2;59;4;29;0
66658;26;;F;S;D;LIMA;68.53;0;;;600;0;9;1939;121;2060;C;B;A;A;A;A;4;2;;N/V;No Registró;6;37;34;65;0;0;0;2;0;0;59.8;1;59.8;0
67402;35;605;M;S;C;LIMA;68.47;0;;;2000;0;7;0;2135;2135;B;A;4;1;7;4;9;A;;Ref.C;Registró Refinanciación;16;0;0;16;46;0;0;0;0;4;3062.01;59;781;0
67502;34;1370;F;S;D;LIMA;68.47;1;1;12.8;500;5;A;0;514;514;A;A;4;B;C;C;C;B;;N/V;No Registró;62;1;0;1;0;31;0;0;0;4;1444.08;48;483.5;0
67653;44;617;F;C;N;LAMBAYEQUE;68.47;0;;;1000;5;9;0;1715;1715;C;B;B;B;A;4;4;1;;N/V;No Registró;31;62;60;60;61;62;;1;1;3;1347.9;17;1166;0
69030;32;;M;S;B;LIMA;59.6;1;1;41.7;2800;0;2;1613;5888;7501;2;1;1;2;4;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;8547.08;10;6634.08;0
70691;36;;M;S;N;AREQUIPA;68.1;1;1;31.77;300;5;B;0;132;132;C;C;C;C;C;B;A;4;;N/V;No Registró;77;77;75;75;74;46;;0;0;4;214.4;10;119;0
71671;28;3363;F;S;B;LIMA;68;0;;;3200;0;4;925;4345;5271;4;2;2;9;A;4;2;2;;N/V;No Registró;1;32;0;1;0;0;0;0;1;1;6550.57;10;2770.55;0
71940;40;2750;M;C;N;PIURA;59.6;1;1;42.9;2800;5;5;7962;5259;13222;B;A;4;2;1;2;1;2;;Ref.C;Registró Refinanciación;0;1;0;31;0;1;0;0;1;1;3154.02;17;1233.9;0
72111;33;;M;C;C;LIMA;67.97;0;;;780;5;9;0;985;985;B;A;A;4;1;A;A;B;;N/V;No Registró;0;0;13;16;46;77;0;0;0;3;991.71;19;360.64;0
72456;42;200;M;S;N;AREQUIPA;59.6;1;1;36.97;2000;5;A;1730;3141;4871;B;B;A;A;B;A;4;B;;Ref.C;Registró Refinanciación;11;11;39;70;0;11;0;0;0;1;223.6;26;35.3;0
72626;31;2155;M;S;N;PIURA;67.87;0;;;1600;0;2;0;294;294;0;0;1;1;2;2;1;1;;N/V;No Registró;0;0;0;0;0;0;;0;0;0;330.1;5;324;0
73233;26;;F;S;C;LIMA;67.8;0;;;2000;5;4;896;2872;3767;A;4;4;4;4;1;2;2;;N/V;No Registró;11;11;8;11;41;72;0;0;1;2;115.2;11;29;0
75490;32;;M;S;N;LA LIBERTAD;67.57;0;;;2000;5;3;1151;2762;3913;A;4;2;1;1;1;2;1;;N/V;No Registró;0;0;0;6;36;67;0;0;0;2;2050.18;19;688.25;0
75575;34;;M;C;N;LA LIBERTAD;67.57;1;1;31.8;500;0;7;1558;349;1907;9;A;A;A;4;4;4;2;;N/V;No Registró;6;6;34;34;36;0;0;0;3;2;498.54;9;187.71;0
76279;30;4716;F;S;A;LIMA;67.5;0;;;9600;0;8;2178;9539;11717;B;B;B;A;4;1;4;4;;N/V;No Registró;11;42;39;39;41;11;0;0;0;2;3121.07;30;1098;0
77252;29;1255;M;S;N;LAMBAYEQUE;67.37;0;;;1700;5;6;264;1665;1930;4;B;A;4;2;2;9;A;;N/V;No Registró;1;1;29;60;0;1;0;0;0;2;3682.77;36;908;0
79943;28;605;F;S;C;LIMA;59.57;0;;;1080;0;4;0;1011;1011;2;4;2;2;4;9;4;2;;N/V;No Registró;1;1;0;1;0;1;0;1;9;4;1579.07;50;150.16;0
80284;42;781;M;S;D;LIMA;67.1;0;;;700;5;A;0;721;721;A;C;B;A;4;B;A;A;;Ref.C;Registró Refinanciación;0;21;49;80;20;51;0;0;0;4;1231.77;6;748;0
81561;29;;F;S;D;LIMA;67;0;;;500;5;8;0;574;574;4;B;A;A;4;9;B;A;;N/V;No Registró;0;21;18;49;0;21;0;0;1;3;1577.46;29;315.76;0
82708;35;;M;S;B;LIMA;66.9;0;;;1900;5;9;5082;2302;7384;B;A;B;B;A;4;1;2;;N/V;No Registró;16;47;44;16;46;77;0;0;0;2;414.18;3;299.28;0
82843;32;;M;S;D;LIMA;66.87;1;1;33.7;450;5;8;0;621;621;B;A;4;2;1;B;A;A;;N/V;No Registró;0;0;0;16;46;77;0;0;0;4;1152.43;7;557;0
84511;37;2488;F;S;N;PIURA;66.73;0;;;4000;0;6;0;7030;7030;4;1;B;B;A;4;4;2;;Ref.C;Registró Refinanciación;36;67;0;0;5;0;0;1;2;0;4554.8;6;4247.9;0
84559;35;;F;S;C;LIMA;66.73;0;;;2900;5;6;1448;3296;4744;A;4;2;4;9;A;4;2;;N/V;No Registró;0;0;0;11;41;72;0;2;1;4;3093.29;28;869.69;0
84594;44;820;F;S;D;LIMA;66.73;0;;;600;5;9;0;477;477;B;B;A;A;A;4;A;A;;Ref.C;Registró Refinanciación;6;6;34;34;64;36;0;0;2;2;68.13;2;36.76;0
85026;33;907;F;S;C;LIMA;66.67;0;;;900;5;A;2142;437;2579;B;A;4;B;C;B;A;A;;N/V;No Registró;41;0;8;39;10;41;0;0;0;3;;;;0
85730;38;;F;S;N;AREQUIPA;66.6;1;2;0.43;600;5;8;0;584;584;B;A;4;1;A;B;B;A;;N/V;No Registró;0;0;3;34;64;0;0;0;3;3;2041.67;20;508.7;0
88301;42;17452;M;C;N;PIURA;66.4;0;;;6000;0;1;0;1282;1282;1;1;2;1;1;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;6;0;7599.61;41;3399.1;0
89087;42;1173;M;S;C;LIMA;66.33;0;;;1200;5;6;509;765;1274;B;A;4;9;4;2;1;2;;N/V;No Registró;1;1;0;31;61;31;0;2;0;4;643.29;27;165.8;0
91077;47;26020;M;S;A;LIMA;66.17;0;;;20000;0;1;0;834;834;2;1;1;1;1;1;1;2;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;1292.24;4;801;0
91134;51;;M;C;N;AREQUIPA;66.17;0;;;300;5;9;0;407;407;C;B;A;A;4;1;0;0;;N/V;No Registró;0;0;18;49;79;82;300;0;0;3;319;1;319;0
91280;49;1020;M;C;C;LIMA;66.1;1;1;13.33;1000;5;8;2405;668;3073;B;B;A;A;4;9;4;1;;N/V;No Registró;0;21;18;49;51;21;0;0;0;2;1171.82;9;480;0
92276;26;805;F;S;D;LIMA;65.97;1;1;55.47;300;5;7;0;320;320;B;A;4;9;4;9;4;2;;N/V;No Registró;0;16;0;16;46;77;0;0;0;3;486.52;8;106.7;0
92753;33;1316;M;S;C;LIMA;65.93;0;;;1200;5;5;0;1790;1790;B;A;4;2;1;2;2;1;;N/V;No Registró;0;0;0;16;46;77;0;1;6;4;2994.16;41;627.59;0
93658;52;8920;M;C;A;LIMA;65.77;1;1;29.33;18500;0;1;0;159;159;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;1;0;0;4431.98;27;1851.35;0
94466;32;;F;S;N;PIURA;65.7;0;;;700;0;5;1527;1174;2700;4;4;B;A;4;2;2;4;;N/V;No Registró;11;42;8;0;10;11;0;1;3;1;389.84;8;205.29;0
95536;26;605;F;S;N;PIURA;59.5;0;;;800;5;B;1118;285;1403;B;B;A;B;A;A;B;A;;N/V;No Registró;16;47;13;44;46;46;0;0;0;2;;;;0
96922;29;;F;S;N;PIURA;65.43;0;;;3000;0;5;7668;2059;9726;1;2;B;B;A;4;2;1;;N/V;No Registró;31;62;0;1;0;0;0;1;1;0;2964.58;33;622.9;0
97254;27;2552;M;S;C;LIMA;65.4;1;1;62.23;1800;5;8;688;961;1648;4;A;A;A;B;A;4;7;;N/V;No Registró;1;32;29;0;0;31;0;0;1;3;1302.94;9;619.09;0
103602;33;;F;S;C;LIMA;117.77;0;;;500;5;8;0;1211;1211;A;4;B;B;A;4;2;B;;N/V;No Registró;21;52;49;0;20;51;0;2;2;4;1973.82;28;305.54;0
105778;45;;M;S;C;LIMA;116.27;1;1;27.47;900;0;8;0;2958;2958;A;4;2;9;B;A;4;9;;N/V;No Registró;6;37;0;6;36;36;300;2;0;2;3151.63;54;471.98;0
105933;29;2500;F;S;C;LIMA;116.17;0;;;1600;0;5;0;1623;1623;B;A;4;1;2;2;2;2;;N/V;No Registró;1;0;0;31;0;0;0;1;5;1;4686.95;29;1257.5;0
107664;28;1050;F;C;D;LIMA;56.2;0;;;600;5;7;0;636;636;B;A;4;4;1;9;4;B;;N/V;No Registró;0;1;0;31;0;1;0;0;0;2;1957.15;12;331.68;0
108143;45;2055;F;C;C;LIMA;115.2;0;;;2400;5;8;0;2741;2741;A;4;4;A;C;B;A;4;;Ref.C;Registró Refinanciación;26;57;0;0;25;56;0;1;0;1;1064.42;24;847.4;0
109050;45;;M;C;A;LIMA;114.97;0;;;4000;5;9;1418;4253;5671;B;A;4;B;A;A;A;4;;N/V;No Registró;26;57;0;26;0;26;0;2;1;2;1964.36;20;277.84;0
111100;32;;F;S;C;LIMA;56.17;1;1;30.03;600;5;5;0;601;601;B;A;4;1;1;1;1;2;;N/V;No Registró;0;1;0;31;61;62;0;2;0;4;2983.89;45;988.6;0
115186;38;755;M;C;C;LIMA;112.3;0;;;1300;5;4;0;1963;1963;A;4;2;1;1;2;2;2;;N/V;No Registró;0;0;0;6;36;67;0;1;4;4;3773.33;119;697.27;0
116695;36;2503;M;S;A;LIMA;112.1;0;;;12000;5;8;7308;11998;19307;B;A;A;A;A;4;2;2;;N/V;No Registró;1;1;0;31;61;31;0;0;0;3;132.8;1;132.8;0
118219;49;14268;M;C;A;LIMA;111.9;1;1;48.03;20000;0;1;0;71;71;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;300;0;0;0;6926.43;54;2291.2;0
119099;41;8481;M;C;A;LIMA;58.47;1;1;28.23;20000;0;1;0;247;247;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;8194.94;31;2709.5;0
121072;42;605;M;C;D;LIMA;111.6;0;;;600;0;9;0;635;635;9;B;A;B;A;A;A;4;;N/V;No Registró;16;47;13;44;15;0;0;1;1;4;1197.08;10;291.41;0
121578;59;12214;F;C;A;LIMA;111.57;0;;;20000;0;1;0;83;83;1;1;1;1;1;1;1;1;;N/V;No Registró;0;0;0;0;0;0;300;0;0;0;1494.75;42;258.9;0
125145;35;;M;S;N;PIURA;55.93;1;1;4.73;800;5;5;2087;2266;4353;A;A;4;1;2;2;2;1;;Ref.C;Registró Refinanciación;1;0;0;31;0;1;0;1;0;2;1589.62;41;260.29;0
125265;26;1054;M;S;C;LIMA;58.43;0;;;900;0;8;3379;339;3718;A;A;A;4;A;A;A;4;;N/V;No Registró;0;6;34;34;36;0;0;0;0;2;920.71;40;215.2;0
127088;29;6109;M;C;A;LIMA;110.8;1;1;58.93;9400;5;9;0;6569;6569;B;B;B;B;B;A;4;2;;N/V;No Registró;56;57;54;54;56;56;0;1;2;0;466.86;7;159.8;0
131212;28;;M;S;C;LIMA;55.83;0;;;2700;5;6;0;2831;2831;4;1;2;C;B;A;4;2;;N/V;No Registró;51;0;0;0;0;21;951;2;0;4;3468.68;56;1520.78;0
131318;37;2500;F;S;A;LIMA;55.83;0;;;15000;5;6;4224;22455;26679;A;4;4;9;4;4;4;4;;N/V;No Registró;0;21;0;0;20;51;0;2;5;4;;;;0
133870;44;;F;S;C;LIMA;55.8;1;2;53.77;2340;5;9;0;1482;1482;B;B;A;4;9;A;A;4;;N/V;No Registró;31;1;29;31;61;62;0;0;1;3;2976.18;11;1199;0
134944;32;973;M;S;C;LIMA;110.17;1;1;53.37;1400;0;2;0;580;580;1;2;1;1;1;4;2;1;;N/V;No Registró;0;0;0;0;0;0;0;0;0;0;605.5;16;122;0
135296;48;;F;C;N;PIURA;55.77;0;;;300;5;B;0;207;207;C;C;C;C;B;A;A;A;;N/V;No Registró;46;77;75;75;74;77;400;0;0;4;69.3;7;9.9;0
137828;50;605;M;S;N;PIURA;65.23;0;;;1000;0;7;0;1237;1237;A;4;2;B;A;4;1;A;;N/V;No Registró;41;0;0;11;41;72;0;1;0;2;918.5;6;517.9;0
138175;26;869;M;S;C;LIMA;65.2;1;1;5.73;1000;5;4;0;1109;1109;4;9;4;1;2;2;2;4;;N/V;No Registró;1;0;0;31;0;31;0;2;1;4;2415.78;62;486.5;0
139131;36;406;M;S;B;LIMA;65.07;0;;;4100;5;7;0;4216;4216;A;4;4;B;A;A;4;2;;N/V;No Registró;31;62;0;1;0;31;0;0;0;1;7551.95;27;2100;0
141074;39;;F;S;C;LIMA;64.9;0;;;1400;0;5;128;2441;2569;B;A;4;4;2;1;1;1;;Ref.C;Registró Refinanciación;0;0;0;16;46;0;0;1;6;2;257.33;15;45.32;0
142678;33;;F;S;C;LIMA;64.73;1;1;58.67;1800;5;8;2745;3423;6168;B;A;4;7;A;A;4;2;;Ref.C;Registró Refinanciación;41;0;8;39;41;72;0;1;0;3;619;3;399;0
142913;31;2300;M;S;B;LIMA;64.7;0;;;2200;0;7;0;2106;2106;1;B;B;B;B;A;4;2;;N/V;No Registró;41;72;39;0;0;0;0;1;0;3;4600.9;118;1375.19;0
143378;26;1081;M;S;C;LIMA;64.6;1;1;50.4;2000;0;6;12263;3634;15897;A;B;A;4;1;2;2;2;;Ref.C;Registró Refinanciación;0;0;23;54;56;0;0;1;0;2;418.22;9;90.2;0
